Year,Category,Entries
2018,Belgian-Style Dubbel or Quadrupel,57
2018,Belgian-Style Fruit Beer,65
2018,Belgian-Style Lambic or Sour Ale,78
2018,Belgian-Style Strong Specialty Ale,65
2018,Belgian-Style Tripel,68
2018,Belgian-Style Witbier,86
2018,Berliner-Style Weisse,115
2018,Bock,49
2018,Bohemian-Style Pilsener,84
2018,Brett Beer,61
2018,Brown Porter,61
2018,Chili Beer,96
2018,Chocolate Beer,59
2018,Classic English-Style Pale Ale,33
2018,Classic Irish-Style Dry Stout,54
2018,Classic Saison,90
2018,Coffee Beer,92
2018,Coffee Stout or Porter,113
2018,Dark Lager,62
2018,Dortmunder or German-Style Oktoberfest,67
2018,Double Hoppy Red Ale,56
2018,English-Style Brown Ale,56
2018,English-Style India Pale Ale,50
2018,English-Style Mild Ale,55
2018,English-Style Summer Ale,61
2018,Experimental Beer,112
2018,Export Stout,52
2018,Extra Special Bitter,72
2018,Field Beer,90
2018,Fruit Wheat Beer,103
2018,Fruited American-Style Sour Ale,148
2018,Fruited Wood- and Barrel-Aged Sour Beer,102
2018,German-Style Altbier,38
2018,German-Style Doppelbock or Eisbock,31
2018,German-Style Koelsch,149
2018,German-Style Maerzen,129
2018,German-Style Pilsener,159
2018,German-Style Wheat Ale,36
2018,Gluten-Free Beer,38
2018,Golden or Blonde Ale,127
2018,Gose,112
2018,Herb and Spice Beer,130
2018,Historical Beer,38
2018,Honey Beer,79
2018,Imperial India Pale Ale,157
2018,Imperial Red Ale,45
2018,Imperial Stout,86
2018,International-Style Pale Ale,23
2018,International-Style Pilsener,86
2018,Irish-Style Red Ale,81
2018,Juicy or Hazy Imperial or Double India Pale Ale,150
2018,Juicy or Hazy India Pale Ale,391
2018,Juicy or Hazy Pale Ale,132
2018,Kellerbier or Zwickelbier,67
2018,Light Lager,63
2018,Mixed-Culture Brett Beer,77
2018,Munich-Style Dunkel or European-Style Dark Lager,52
2018,Munich-Style Helles,99
2018,Oatmeal Stout,59
2018,Old Ale or Strong Ale,37
2018,Ordinary or Special Bitter,41
2018,Other Belgian-Style Ale,41
2018,Other Strong Beer,44
2018,Pumpkin/Squash Beer or Pumpkin Spice Beer,38
2018,Robust Porter,91
2018,Rye Beer,57
2018,Scotch Ale,53
2018,Scottish-Style Ale,40
2018,Session Beer,50
2018,Session India Pale Ale,92
2018,Smoke Beer,50
2018,South German-Style Hefeweizen,152
2018,Specialty Beer,55
2018,Specialty Saison,116
2018,Sweet Stout or Cream Stout,56
2018,Vienna-Style Lager,92
2018,Wood- and Barrel-Aged Beer,77
2018,Wood- and Barrel-Aged Sour Beer,76
2018,Wood- and Barrel-Aged Strong Beer,162
2018,Wood- and Barrel-Aged Strong Stout,177
